Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Primary_energy,Energy_intensity,Population,GDP,Urban_population_pct,Trade_share_GDP,GDP_growth_annual
1965,500.286,432.993,34.999,2.11,6.801,1536.194,1.714,723415737.0,896126812160.0,18.086,6.82814302191465,16.950000002496
1966,549.459,469.765,44.547,2.568,8.387,1669.308,1.8,742402209.0,927339380736.0,17.915,6.72949647905967,10.6500000041736
1967,460.226,383.599,42.499,2.799,6.085,1501.068,1.608,761026025.0,933378392064.0,17.785,6.25348344666146,-5.77000000422507
1968,495.507,412.72,48.651,2.686,5.253,1516.696,1.662,781011031.0,912372793344.0,17.656,6.22097356802936,-4.09999999214143
1969,607.683,501.177,66.85,3.759,7.613,1845.186,1.834,802140343.0,1006175649792.0,17.528,5.45306288859444,16.9399999961092
1970,807.953,665.866,94.645,5.503,10.718,2361.698,2.064,823308968.0,1144004411392.0,17.4,4.95240601833575,19.299999996256
1971,909.21,736.424,120.091,7.174,13.124,2800.124,2.302,844069870.0,1216237928448.0,17.292,4.92083519882779,7.0600000033518
1972,968.646,770.722,138.328,9.281,14.717,3018.837,2.447,863677811.0,1233564991488.0,17.184,5.75536749725748,3.80999999825444
1973,1008.293,783.741,158.819,11.468,15.456,3186.893,2.388,882576941.0,1334375219200.0,17.184,8.00014512734925,7.7600000016445
1974,1028.1,776.101,182.573,14.44,15.34,3286.762,2.403,900307583.0,1367631724544.0,17.292,10.3334865791986,2.31000000049113
1975,1183.215,906.638,204.191,16.972,19.102,3680.441,2.52,916116795.0,1460733607936.0,17.4,9.55420299391347,8.72000000047512
1976,1226.421,910.39,238.985,19.368,19.253,3874.827,2.741,930372293.0,1413710479360.0,17.46,8.83691360503246,-1.57000000275067
1977,1340.831,998.609,257.484,23.237,22.906,4225.152,2.829,943546379.0,1493489287168.0,17.52,8.38461538461539,7.56999999917167
1978,1492.778,1117.447,281.992,26.286,26.81,4632.033,2.778,956161484.0,1667551723520.0,17.9,9.65014154062668,11.6666440032893
1979,1525.661,1147.547,278.427,27.777,30.32,4771.826,2.649,969288069.0,1801380298752.0,18.617,11.0865781306023,7.60000000000034
1980,1494.496,1122.664,273.202,27.319,32.712,4827.534,2.549,983163545.0,1893783568384.0,19.358,12.4248485276547,7.80669144981401
1981,1476.488,1125.005,256.374,24.388,33.903,4763.85,2.443,997721068.0,1949955260416.0,20.118,14.8971819799761,5.17241379310337
1982,1606.585,1248.856,257.81,22.9,38.87,4976.87,2.338,1013588169.0,2128598007808.0,20.902,19.6929683051809,8.9344262295084
1983,1694.217,1321.843,263.771,23.439,44.126,5297.698,2.325,1029064952.0,2278862356480.0,21.545,17.9211027113208,10.8352144469524
1984,1844.828,1454.198,271.451,24.226,50.066,5685.145,2.244,1043849645.0,2534000295936.0,22.203,19.0326117398578,15.1391717583164
1985,1998.083,1584.511,284.594,24.82,59.301,6150.371,2.234,1059807821.0,2752673742848.0,22.874,20.7128550124155,13.4433962264152
1986,2104.213,1657.391,303.068,26.352,67.362,6444.106,2.198,1077233612.0,2931539050496.0,23.559,19.8814799533638,8.93970893970877
1987,2257.739,1770.269,321.523,26.601,75.429,6950.239,2.187,1096217446.0,3177306390528.0,24.259,24.857665077842,11.68893129771
1988,2425.894,1892.698,343.13,27.311,84.961,7467.112,2.226,1115244161.0,3354463305728.0,24.974,30.0647705925082,11.2345151644596
1989,2463.654,1920.239,354.441,28.821,84.886,7836.437,2.318,1133991005.0,3380560265216.0,25.701,25.1056952042254,4.18586789554524
1990,2484.855,1976.684,330.291,29.301,84.513,7938.249,2.345,1153582718.0,3385121832960.0,26.442,24.2731321081918,3.90711389605613
1991,2606.096,2049.92,356.027,30.778,101.305,8337.61,2.376,1170788527.0,3508947910656.0,27.312,25.9497241063344,9.29407591344449
1992,2730.788,2114.715,385.793,30.239,122.445,8773.708,2.337,1184574240.0,3755037425664.0,28.2,30.1457164555283,14.2161635832521
1993,2921.651,2228.745,428.549,35.728,142.774,9457.634,2.292,1197308569.0,4126169366528.0,29.103,36.0560778682802,13.8675760159137
1994,3103.739,2380.586,423.712,41.568,164.377,10048.812,2.264,1209003100.0,4438753280000.0,30.024,35.7698149885745,13.0521587222365
1995,3361.637,2569.754,468.23,42.436,184.637,10352.658,2.152,1220133927.0,4810000039936.0,30.961,34.2740960269445,10.9492273730684
1996,3508.818,2660.401,510.622,44.47,192.853,10907.449,2.127,1230944812.0,5127589593088.0,31.916,33.8147454665978,9.92837246319102
1997,3515.594,2609.556,557.961,44.159,202.874,10981.134,2.075,1241139619.0,5291339415552.0,32.883,34.533017359241,9.23076923076908
1998,3364.587,2444.771,559.262,50.501,211.369,11000.566,2.061,1250847121.0,5338703069184.0,33.867,32.4246962702613,7.83761391880728
1999,3557.275,2580.992,596.751,54.572,228.322,11386.067,2.041,1260176650.0,5578502963200.0,34.865,33.5245667311661,7.66748617086637
2000,3649.227,2601.762,648.686,59.796,244.388,11800.283,1.982,1269581164.0,5952682590208.0,35.877,39.4105387873795,8.49150849150834
2001,3728.51,2637.651,659.3,67.157,270.828,12470.062,1.97,1278725057.0,6329737412608.0,37.093,38.5273592759292,8.33991054985566
2002,4103.046,3018.637,653.086,53.993,282.688,13580.49,1.993,1286866839.0,6814493573120.0,38.425,42.7474036337363,9.13064594463337
2003,4841.119,3601.712,727.099,60.745,353.679,15818.756,2.182,1294517315.0,7248623435776.0,39.776,51.8039879999754,10.0356030262568
2004,5217.351,3835.288,839.093,71.521,368.396,18509.135,2.364,1302100319.0,7830953263104.0,41.144,59.505524224399,10.1112234580387
2005,5882.106,4424.353,850.173,84.957,411.649,21027.164,2.444,1310027138.0,8602939555840.0,42.522,62.2078928661667,11.3957759412304
2006,6494.331,4905.367,898.534,103.753,470.087,23048.332,2.429,1318054037.0,9489543593984.0,43.868,64.4788839037683,12.7194790206908
2007,6983.547,5289.875,927.351,129.515,514.981,25049.576,2.418,1325813580.0,10358205972480.0,45.199,62.1046170642477,14.231388035688
2008,7501.498,5729.473,970.118,149.674,525.924,26020.463,2.409,1333821009.0,10799147909120.0,46.539,57.4528722024775,9.65428937259927
2009,7891.078,6028.489,982.348,164.404,583.56,27158.898,2.347,1342522709.0,11572544012288.0,47.88,44.6054276875928,9.39981317141536
2010,8620.576,6568.743,1092.571,199.585,639.592,29055.609,2.26,1351561511.0,12858808074240.0,49.226,48.8892993735797,10.6361404632298
2011,9532.332,7309.709,1123.859,245.99,708.564,31336.535,2.289,1360250657.0,13691527364608.0,50.511,50.5998313834225,9.5364430080555
2012,9779.292,7464.744,1176.712,277.599,714.782,32624.178,2.208,1369520865.0,14773157625856.0,51.765,48.107858832025,7.85626211026953
2013,9956.329,7493.408,1234.621,320.127,748.323,33852.562,2.126,1379008046.0,15925464006656.0,53.013,46.5652347738386,7.75763514617024
2014,9990.257,7424.993,1255.605,370.222,770.284,34729.066,2.03,1387951973.0,17103948087296.0,54.259,44.8765602750999,7.29766595938155
2015,9863.457,7266.92,1328.805,380.052,718.559,35135.988,1.92,1396134164.0,18301224747008.0,55.5,39.45306552453,6.90020481672437
2016,9762.714,7071.355,1357.838,421.726,740.776,35277.711,1.805,1404052626.0,19545710395392.0,56.736,37.03381667784,6.69999999999993
2017,10006.343,7163.255,1430.587,486.359,753.439,36649.383,1.754,1412354742.0,20894363680768.0,57.96,37.8033995957306,6.90000000000013
