Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Primary_energy,Energy_intensity,Population,GDP,Urban_population_pct,Trade_share_GDP,GDP_growth_annual
1965,25.3,7.225,17.199,0.0,0.876,115.404,2.068,4564150.0,55796187136.0,59.658,40.0569308252083,5.30285780228266
1966,29.489,6.789,21.922,0.0,0.778,131.365,2.299,4581447.0,57128017920.0,60.48,39.3287643183973,2.37282301528174
1967,28.588,6.595,21.244,0.0,0.749,138.252,2.37,4606643.0,58340958208.0,61.295,38.3132564956308,2.16882888287419
1968,33.281,7.869,24.682,0.0,0.73,150.031,2.514,4627350.0,59681452032.0,62.106,41.5364907443325,2.30328998355667
1969,37.897,9.446,27.564,0.0,0.887,164.92,2.521,4624083.0,65431183360.0,62.908,44.9820990066287,9.59328778480032
1970,40.355,8.633,30.795,0.0,0.927,181.709,2.584,4606308.0,70319882240.0,63.704,49.3846910419816,5.33390779168666
1971,40.537,7.779,31.855,0.0,0.903,186.581,2.599,4612135.0,71787708416.0,64.523,47.4072297388356,2.35692031222435
1972,44.106,8.812,34.324,0.0,0.97,196.711,2.546,4639549.0,77268844544.0,65.366,47.7548605987513,7.7354855177018
1973,49.32,9.787,38.516,0.0,1.018,216.779,2.629,4665910.0,82444984320.0,66.197,48.4717251472445,6.98382797549191
1974,46.608,9.739,34.936,0.868,1.065,207.939,2.448,4690365.0,84941602816.0,67.019,55.173929890715,3.23653361293866
1975,46.026,8.996,34.62,1.418,0.992,211.251,2.459,4711174.0,85922512896.0,67.831,50.2952150476094,1.80489770440417
1976,51.198,12.224,36.58,1.524,0.87,224.04,2.619,4725341.0,85553422336.0,68.634,49.2315135968167,0.344382966187197
1977,50.137,11.761,35.845,1.718,0.812,236.942,2.762,4738579.0,85774123008.0,69.423,52.3510959037745,0.239510404024657
1978,51.825,15.385,33.767,1.869,0.804,245.921,2.808,4752243.0,87565328384.0,70.202,52.5868763215572,2.91970808964352
1979,54.237,16.465,35.073,1.88,0.82,265.846,2.838,4764439.0,93659512832.0,70.97,58.0703964693199,7.12192639417022
1980,58.139,20.012,35.517,1.766,0.845,264.663,2.683,4779361.0,98649604096.0,71.727,62.9000653167864,5.38904742478113
1981,51.403,17.514,31.646,1.403,0.84,267.23,2.659,4799850.0,100487249920.0,72.528,61.5530004725154,1.29477446734987
1982,42.976,12.032,28.767,1.323,0.855,263.894,2.543,4826882.0,103754924032.0,73.373,57.5377647031356,3.08735421419586
1983,41.463,12.828,26.483,1.282,0.87,261.366,2.453,4855793.0,106555392000.0,74.202,57.3739275999163,3.12105731245734
1984,42.147,15.035,24.903,1.462,0.748,272.34,2.481,4881827.0,109771882496.0,75.015,56.5591237055591,3.2141281238718
1985,49.549,19.032,27.929,1.861,0.726,285.741,2.518,4902263.0,113466474496.0,75.808,55.2697949729776,3.53669319186561
1986,53.214,16.997,33.32,2.261,0.636,289.027,2.488,4918255.0,116153573376.0,76.567,49.9458080969079,2.72613808053603
1987,57.533,20.329,33.575,2.994,0.635,304.3,2.517,4932259.0,120921063424.0,77.291,49.4531446030317,3.55909597500595
1988,52.058,19.734,28.451,3.206,0.667,302.309,2.383,4946629.0,126851457024.0,78.0,48.138207780702,5.20985868280377
1989,52.448,19.004,28.482,4.261,0.701,303.614,2.265,4964527.0,134045458432.0,78.691,47.8534604149938,5.08770164671162
1990,56.921,22.136,27.663,5.154,0.729,323.249,2.411,4986574.0,134055206912.0,79.367,45.8158444127019,0.675783493968225
1991,55.195,21.392,26.813,5.384,0.569,330.758,2.62,5013889.0,126220140544.0,79.843,43.4569122145305,-5.91442587353288
