Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Primary_energy,Energy_intensity,Population,GDP,Urban_population_pct,Trade_share_GDP,GDP_growth_annual
1971,1037.237,588.132,384.682,40.183,24.24,3643.557,2.634,78345873.0,1383509131264.0,72.332,30.9459003050632,3.13269975367778
1972,1041.481,553.577,410.007,52.651,25.245,3770.223,2.617,78719923.0,1440601473024.0,72.389,30.8344370581945,4.30034129410552
1973,1085.738,561.926,431.74,67.751,24.322,3987.354,2.648,78966976.0,1505896431616.0,72.446,31.8077841214888,4.7774869132114
1974,1062.727,565.844,390.431,84.495,21.957,3918.027,2.58,78996693.0,1518360985600.0,72.503,37.074439055349,0.890068704199294
1975,1002.447,515.979,376.809,88.812,20.847,3764.568,2.493,78701861.0,1510149980160.0,72.56,36.0255816499697,-0.866738895212265
1976,1090.84,555.972,419.362,93.634,21.872,4016.905,2.537,78364503.0,1583048163328.0,72.617,38.4972486719417,4.94925839213008
1977,1052.609,516.648,416.829,98.049,21.083,4007.19,2.46,78185560.0,1628636053504.0,72.674,38.2301505974497,3.34721808803467
1978,1079.133,523.741,428.176,105.271,21.944,4152.177,2.48,78115357.0,1674283057152.0,72.73,37.3036255570964,3.00849287686853
1979,1117.888,549.173,431.588,114.72,22.407,4382.909,2.517,78147899.0,1741603078144.0,72.787,39.3552100939341,4.1503633330354
1980,1100.066,551.176,412.456,115.453,20.981,4239.232,2.407,78315374.0,1761467957248.0,72.844,41.9938930471203,1.40882865924603
1981,1048.523,557.749,361.3,110.001,19.474,4107.233,2.323,78448044.0,1768196538368.0,72.989,44.3302124753721,0.529240537221568
1982,1015.734,550.813,344.464,102.017,18.441,3962.491,2.26,78393671.0,1753143181312.0,73.107,44.5349453242277,-0.394840745632834
1983,1011.605,553.738,333.397,106.021,18.448,4018.511,2.252,78224137.0,1784298602496.0,73.103,43.7201739789873,1.57241014934053
1984,1033.245,572.331,334.89,108.531,17.492,4166.991,2.271,77998199.0,1834585161728.0,72.943,46.3959011796766,2.82294783413745
1985,1044.118,579.376,340.222,108.532,15.989,4290.329,2.288,77863423.0,1874769739776.0,72.711,48.0736790945183,2.32793521988923
1986,1047.472,573.762,356.828,100.551,16.331,4254.676,2.22,77923807.0,1916181413888.0,72.617,43.085752999907,2.28733926897232
1987,1032.443,560.224,345.535,109.547,15.796,4291.178,2.206,78062321.0,1945055789056.0,72.836,41.8264475858919,1.40215157409413
1988,1029.024,552.861,351.26,107.637,16.056,4305.766,2.142,78385993.0,2009989382144.0,72.999,42.6662605609414,3.70723566872432
1989,1008.792,546.779,322.795,121.909,16.72,4260.189,2.052,79007063.0,2075675197440.0,72.976,45.3646253285851,3.89655172419432
1990,1054.796,569.117,333.324,122.281,15.297,4192.642,2.08,79707964.0,2015547490304.0,73.118,46.0141918466429,5.25500608609781
1991,1016.93,504.043,355.311,130.146,13.741,4090.643,1.91,80303189.0,2141316317184.0,73.269,47.9745537409799,5.10826150794557
1992,969.464,454.311,357.981,129.3,14.444,4009.338,1.818,80934901.0,2204952428544.0,73.36,45.0500200552108,1.92380701113764
1993,959.386,430.776,364.629,136.252,14.531,3991.526,1.809,81486770.0,2206290935808.0,73.497,40.644305281519,-0.956165307017542
1994,943.228,418.185,353.812,142.15,15.341,3954.172,1.731,81773612.0,2283952930816.0,73.71,42.0729501882215,2.45737182000687
1995,939.934,406.046,351.7,152.97,15.562,3974.795,1.693,82019890.0,2347761139712.0,73.922,43.5447210987529,1.73764063121563
1996,959.69,400.613,361.057,169.956,14.811,4105.846,1.717,82263195.0,2391519789056.0,74.133,44.9967295153453,0.817897617014211
1997,931.508,386.864,353.069,162.876,15.275,4053.187,1.647,82389631.0,2461046145024.0,74.342,49.6010350314424,1.84920066980847
1998,923.499,377.48,351.914,165.377,15.545,4019.631,1.585,82011933.0,2535903723520.0,74.551,51.5828721206206,1.97961840703675
1999,895.442,360.052,340.846,165.627,15.771,3963.56,1.517,81678279.0,2613176696832.0,74.758,53.3694451977839,1.98713494928661
2000,898.976,373.461,330.774,166.421,15.253,3988.179,1.467,81797255.0,2718560681984.0,74.965,61.3899965981252,2.96204536784524
2001,915.255,376.52,338.871,173.799,13.504,4062.799,1.454,81933883.0,2793372909568.0,75.17,61.9777966373833,1.69547145188611
2002,898.834,375.786,324.413,173.61,12.823,4011.723,1.421,82068328.0,2822441533440.0,75.374,60.7730085231002,0.0
2003,894.501,378.305,313.847,176.587,13.507,4010.471,1.416,82111619.0,2831676080128.0,75.577,61.5191344456056,-0.709906171880789
2004,876.57,374.908,301.208,174.327,14.068,4009.893,1.385,82092706.0,2894624980992.0,75.779,65.8561097849926,1.16997041286515
2005,867.881,361.975,305.188,175.904,13.05,3962.635,1.345,82046731.0,2945460994048.0,75.98,70.421190337526,0.70671394810023
2006,886.434,367.653,313.191,180.197,13.34,4062.387,1.316,81701971.0,3086359199744.0,76.179,77.0821685991852,3.70015957205484
2007,846.116,376.715,268.924,173.851,14.449,3893.423,1.209,81298546.0,3220275724288.0,76.378,79.3705311491587,3.26053529682157
2008,856.607,353.581,296.43,180.995,13.579,3934.666,1.196,81110781.0,3289020366848.0,76.575,80.9449046351308,1.08231540391905
2009,789.951,316.28,282.438,168.399,12.559,3692.178,1.177,80935275.0,3136502104064.0,76.771,70.6650462548978,-5.61886043465857
2010,826.68,341.311,277.154,184.875,12.431,3847.151,1.165,80830917.0,3301123031040.0,76.966,79.3030782229871,4.07993330487069
2011,804.514,339.624,270.809,169.399,13.393,3710.584,1.07,80857877.0,3467712921600.0,77.16,84.7477359495694,3.66000015503516
2012,814.09,350.039,271.945,167.837,13.289,3761.916,1.08,80916393.0,3482225475584.0,77.17,85.8747543741344,0.491992829138056
2013,831.743,357.254,280.396,170.267,12.503,3868.517,1.106,81041580.0,3497463119872.0,77.18,84.83642578125,0.489584482494635
2014,792.579,344.722,271.602,151.986,12.905,3710.465,1.038,81376078.0,3574741336064.0,77.19,84.3652568068359,2.17806656078447
2015,800.844,341.117,278.861,157.11,12.626,3780.86,1.042,82077546.0,3628073746432.0,77.2,85.7119710317955,1.73896761850342
2016,798.014,329.436,275.703,169.169,12.663,3841.451,1.036,82760100.0,3708980035584.0,77.224,83.9622122003323,2.2422350985948
2017,784.594,312.692,275.505,172.045,13.408,3888.133,1.021,83104012.0,3808389496832.0,77.261,86.533713316287,2.15710947029994
