Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Primary_energy,Energy_intensity,Population,GDP,Urban_population_pct,Trade_share_GDP,GDP_growth_annual
1965,153.702,116.456,30.815,0.282,5.398,619.451,1.039,490140141.0,596064993280.0,18.785,8.51903416578985,-2.63577010985361
1966,159.373,116.984,35.676,0.311,5.57,638.414,1.062,500740250.0,601424986112.0,18.977,10.8142372524948,-0.0553287698314051
1967,159.556,119.096,32.698,0.487,5.821,658.433,1.012,511606375.0,650715987968.0,19.171,9.98106242935499,7.82596303033036
1968,174.069,123.826,42.25,0.751,5.872,703.985,1.054,522716894.0,668219998208.0,19.366,8.98174426060709,3.38792917600293
1969,177.413,123.368,45.35,0.997,6.438,780.436,1.095,533880544.0,712563032064.0,19.562,7.74477645816923,6.53970029628086
1970,181.723,123.551,49.332,0.923,6.495,763.741,1.02,545864268.0,748744015872.0,19.76,7.66176915460636,5.15722973608221
1971,191.964,126.966,55.443,1.085,7.052,794.386,1.051,558096383.0,755656032256.0,19.991,7.66960637493576,1.64293038388728
1972,203.036,134.377,58.878,1.205,7.363,835.859,1.109,570482142.0,753543020544.0,20.321,7.73639941216967,-0.55330131237784
1973,209.095,137.809,61.749,1.169,6.921,853.324,1.082,583465595.0,788800012288.0,20.653,8.93209580500167,3.29552113522445
1974,215.853,145.639,60.628,1.359,6.501,903.988,1.134,597041392.0,796992012288.0,20.991,10.8518899940522,1.18533626033918
1975,234.209,161.338,61.838,1.733,7.288,972.011,1.12,611309532.0,868009967616.0,21.332,12.2939779197436,9.14991201480669
1976,244.749,168.92,63.438,2.294,8.279,1019.454,1.16,625861887.0,878540029952.0,21.677,12.8012027663949,1.66310363661259
1977,258.962,177.51,68.557,2.481,8.322,1078.32,1.138,640801105.0,947196002304.0,22.026,12.6481008350333,7.25476458583583
1978,263.15,174.689,75.317,2.741,8.421,1120.973,1.123,655728226.0,997920014336.0,22.379,12.9030115341915,5.71253208900144
1979,276.285,180.622,82.664,3.03,7.752,1182.959,1.248,671155745.0,947528007680.0,22.736,14.9188041744357,-5.23818270278872
1980,291.711,197.337,83.176,2.488,7.545,1218.599,1.2,687354031.0,1015104995328.0,23.098,15.3845764800753,6.73582152799783
