Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Primary_energy,Energy_intensity,Population,GDP,Urban_population_pct,Trade_share_GDP,GDP_growth_annual
1965,3399.547,1090.619,1464.691,782.605,33.295,14439.7,3.474,195653775.0,4156141338624.0,71.879,9.22414952265699,6.39999999999968
1966,3571.421,1132.718,1529.661,842.207,34.573,15247.363,3.443,198265397.0,4428300025856.0,72.247,9.57055214723926,6.50000000000033
1967,3705.461,1163.049,1589.194,881.284,33.594,15778.539,3.476,200699913.0,4538979319808.0,72.612,9.67854241615411,2.49999999999997
1968,3840.919,1139.603,1689.423,936.361,35.32,16719.385,3.516,203011021.0,4754925682688.0,72.974,10.026525198939,4.7999999999997
1969,4035.145,1158.0,1781.627,1018.083,35.697,17583.422,3.586,205300032.0,4903769997312.0,73.333,10.0402000196098,3.10000000000004
1970,4339.686,1168.091,2038.082,1059.211,34.924,18205.84,3.706,207796339.0,4912635707392.0,73.602,10.7325696822334,0.186045636370451
1971,4365.465,1107.406,2097.305,1096.927,35.51,18589.008,3.67,210426424.0,5065682190336.0,73.613,10.7303664248953,3.29547672836176
1972,4573.015,1124.841,2269.174,1115.673,36.523,19514.082,3.658,212842574.0,5334296952832.0,73.623,11.3111710485173,5.26326277619982
1973,4785.434,1220.714,2325.281,1175.252,36.917,20339.793,3.608,215006548.0,5637202771968.0,73.633,13.0502348886878,5.64312484755203
1974,4621.419,1199.352,2227.39,1134.594,36.806,19842.607,3.53,217076474.0,5621366128640.0,73.643,16.407018223492,-0.51715456222523
1975,4478.563,1195.102,2190.27,1042.853,30.463,19319.48,3.446,219129300.0,5605794775040.0,73.653,15.4794505137298,-0.197678536519447
1976,4748.111,1281.249,2350.496,1063.161,32.37,20376.508,3.454,221168756.0,5899591090176.0,73.663,16.0131594434772,5.38609005075547
1977,4889.953,1315.802,2478.228,1041.406,33.979,20895.646,3.388,223259417.0,6166912434176.0,73.673,16.3854759771442,4.60859740653179
1978,4941.708,1314.266,2524.557,1045.577,35.616,21359.291,3.277,225396098.0,6518624223232.0,73.682,16.9371514798408,5.5616849289446
1979,5008.956,1427.55,2441.816,1080.846,35.94,21584.4,3.202,227575083.0,6740172603392.0,73.692,18.3426204427343,3.17569075012061
1980,4808.877,1453.891,2244.35,1058.408,32.922,20751.957,3.077,229858654.0,6743208230912.0,73.738,20.0733972517079,-0.244596225208085
1981,4686.743,1503.037,2101.535,1032.434,31.962,20138.094,2.914,232201613.0,6911865389056.0,73.89,19.402259015695,2.59447038823151
1982,4447.602,1449.193,1994.366,961.223,28.441,19318.139,2.848,234583158.0,6782206345216.0,74.042,17.530450754576,-1.91089106804856
1983,4429.711,1504.91,1977.975,901.395,30.44,19250.529,2.724,236986362.0,7066236747776.0,74.194,16.6468167636348,4.63245718120484
1984,4662.488,1616.224,2034.424,962.574,32.915,20235.688,2.669,239353968.0,7581108011008.0,74.344,17.509125291132,7.25908695936059
1985,4652.938,1655.15,2023.738,926.826,31.708,20184.246,2.563,241690439.0,7874872344576.0,74.494,16.5742141111004,4.23873752083914
1986,4663.711,1635.859,2111.99,868.157,32.854,20371.605,2.501,243953810.0,8146027806720.0,74.644,16.8592781725236,3.5116144990922
1987,4826.013,1709.615,2143.02,923.281,32.976,21055.266,2.497,246161292.0,8432566927360.0,74.793,17.9182570304362,3.46174769185008
1988,5050.858,1792.863,2241.04,964.695,33.248,22014.584,2.505,248393235.0,8787202670592.0,74.942,19.0113179514487,4.20397197941298
1989,5132.543,1813.282,2239.66,1027.299,33.264,22546.822,2.48,250675047.0,9091291283456.0,75.089,19.3598875018493,3.68052403304713
1990,5120.957,1814.537,2178.622,1023.425,33.484,22609.195,2.444,253373385.0,9250377039872.0,75.3,19.760605620219,1.91937029742549
1991,5062.957,1797.157,2120.971,1042.436,32.736,22579.719,2.448,256471425.0,9224687976448.0,75.701,19.7355120461584,-0.0740845307123976
1992,5174.228,1817.281,2174.379,1080.4,32.993,22913.109,2.399,259606020.0,9552658432000.0,76.097,19.8927438552664,3.55539614766758
