Country,Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2
China,2018,9861.936164600002,7083.026544,1484.2340125,539.9557618,754.7198463,20954979333518.133,1412605593.7306666,36401.44788,1.7404956666666669,58.0141432,36.16144516091903,6.635916299173698,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2019,9899.05119146502,7003.696646707201,1539.89278796875,599.4588867503601,756.00287003871,22426018882731.105,1421081227.2930503,37129.4768376,1.6586923703333332,59.32526283632,34.32444374674434,6.444138318127578,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2020,9945.701342769684,6925.25524426408,1597.6387675175783,665.5192560702498,757.2880749177758,24000325408298.83,1429607714.6568089,37872.066374352,1.5807338289276665,60.66601377642083,32.580762004409735,6.257902720733691,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2021,10002.677549562137,6847.692385528322,1657.5502212994877,738.8594780891913,758.5754646451361,25685148251961.406,1438185360.9447498,38629.50770183904,1.506439338968066,62.03706568776794,30.92565929458572,6.077049332104487,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2022,10070.853420918278,6770.998230810405,1719.7083545982186,820.2817925746202,759.8650429350329,27488245659249.098,1446814473.1104183,39402.09785587582,1.435636690036567,63.43910337231149,29.354635802420766,5.901422606406667,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2023,10151.194128145347,6695.163050625329,1784.197417895652,910.6768461163434,761.1568135080224,29417920504528.387,1455495359.949081,40190.13981299334,1.368161765604848,64.87282710852573,27.863420303657797,5.730871493081515,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2024,10244.766260174416,6620.177224458325,1851.104821066739,1011.0334345583644,762.4507800909861,31483058523946.28,1464228332.1087754,40993.9426092532,1.3038581626214203,66.33895300117841,26.447958552231977,5.565249306931459,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2025,10352.748756864972,6546.0312395443925,1920.5212518567416,1122.4493190466965,763.7469464171407,33693169232327.312,1473013702.101428,41813.82146143827,1.2425768289782135,67.83821333900504,25.104402257778595,5.40441360196114,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2026,10476.445038694555,6472.715689661495,1992.5407988013696,1246.1432340056424,765.0453162260499,36058429712436.69,1481851784.3140366,42650.09789066704,1.1841757180162376,69.37135696046654,23.829098623083443,5.248226048864463,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2027,10617.296464350406,6400.221273937286,2067.2610787564213,1383.4682183930645,766.3458932636341,38589731478249.74,1490742895.0199208,43503.09984848038,1.1285194592694745,70.93914962777308,22.61858041303081,5.096552316052279,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2028,10776.89726222114,6328.538795669188,2144.7833692097875,1535.92641605998,767.6486812821823,41298730628022.88,1499687352.3900404,44373.161845449984,1.075479044683809,72.54237440936075,21.46955652804884,4.949261954118368,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2029,10957.011097863,6257.659161157693,2225.2127455551545,1705.18550710979,768.9536840403621,44197901518110.086,1508685476.5043807,45260.62508235899,1.0249315295836698,74.1818320710123,20.37890305642396,4.806228283644347,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2030,11159.58945736272,6187.573378552727,2308.658223513473,1893.096949993289,770.2609053032307,47300594204681.41,1517737589.363407,46165.83758400617,0.9767597476932374,75.85834147581717,19.343654781157625,4.667328286247026,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2031,11386.79204633296,6118.272556712936,2395.232906895228,2101.7162338825497,771.5703488422463,50621095917850.055,1526844014.8995874,47089.1543356863,0.9308520395516552,77.57273999317063,18.360997118274817,4.532442498774486,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2032,11641.009426273236,6049.747904077752,2485.054140903799,2333.325362856406,772.8820184352782,54174696851283.13,1536005078.9889848,48030.93742240002,0.8871019936927274,79.32588391701628,17.428258464666456,4.401454910559903,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2033,11924.888134449577,5981.990727552081,2578.243671187692,2590.457817843183,774.1959178666182,57977760570243.21,1545221109.4629188,48991.55617084802,0.8454081999891692,81.11864889354085,16.542902934661402,4.274252863644722,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2034,12241.35856055722,5914.992431403498,2674.9278088572305,2875.926269369502,775.5120509269915,62047799362274.29,1554492436.1196964,49971.38729426498,0.8056740145896781,82.95193035853487,15.702523465580605,4.150726955885389,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2035,12593.665883528744,5848.744516171779,2775.237601689377,3192.853344254021,776.8304214135674,66403554877505.945,1563819390.736415,50970.815040150286,0.7678073359039632,84.82664398463776,14.90483527352911,4.030770946860302,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2036,12985.404405264168,5783.238577590655,2879.309011752729,3544.7057827908143,778.1510331299704,71065084429906.86,1573202307.0808332,51990.231340953294,0.7317203911164769,86.74372613869056,14.147669641633833,3.914281666496039,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2037,13420.55565515575,5718.46630552164,2987.2830996934563,3935.332360054362,779.4738898862914,76053853356886.33,1582641520.923318,53030.03596777236,0.6973295327340024,88.70413434942496,13.428968023838834,3.801158926334303,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2038,13903.530680463213,5654.419482899797,3099.306215931961,4369.005986132353,780.7989954990982,81392833862539.75,1592137370.0488582,54090.63668712781,0.6645550446955043,90.70884778572196,12.746776448227822,3.6913054333632416,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2039,14439.216983316315,5591.089984691319,3215.53019902941,4850.470445804139,782.1263537914467,87106610799690.05,1601690194.2691512,55172.44942087036,0.6333209575948155,92.75886774567928,12.099240204657848,3.584626706339044,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2040,15033.030615880438,5528.469776862777,3336.1125814930133,5384.992288931755,783.4559685928922,93221494877828.3,1611300335.434766,56275.89840928777,0.6035548725878592,94.8552181567316,11.48459880226123,3.4810309945258453,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2041,15690.974001572447,5466.550915361913,3461.2168032990016,5978.418439172035,784.7878437395001,99765643818251.84,1620968137.4473746,57401.41637747353,0.5751877935762298,96.99894608707372,10.90118118310636,3.380429198784048,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2042,16419.700112775223,5405.32554510986,3591.0124334227144,6637.240151168793,786.1219830738572,106769192014293.12,1630693946.2720587,58549.444705023,0.548153967278147,99.1911222686416,10.347401179004557,3.282734794939189,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2043,17226.583704953373,5344.78589900463,3725.675399676066,7368.664015827595,787.4583904450828,114264389293696.5,1640478109.949691,59720.43359912346,0.5223907308160741,101.4328416319129,9.821753199111123,3.187863759365446,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2044,18119.800384180333,5284.924296935778,3865.388227163919,8180.690790371796,788.7970697088396,122285749422114.0,1650320978.6093893,60914.84227110593,0.4978383664677186,103.72522385279412,9.32280813659628,3.095734496719785,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2045,19108.414370690774,5225.733144810098,4010.3402856825664,9082.202915470769,790.1380247273446,130870209031546.4,1660222904.4810455,62133.13911652805,0.4744399632437358,106.06941391186726,8.84920948325719,3.006267769764583,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2046,20202.47591610892,5167.204933588225,4160.728046395663,10083.061676755648,791.4812593693811,140057297705560.95,1670184241.907932,63375.80189885861,0.4521412849712802,108.46658266627546,8.399669641507726,2.9193866312183863,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2047,21413.129437511965,5109.3322383320365,4316.755348135501,11194.21507353412,792.8267775103091,149889320004491.34,1680205347.3593795,64643.31793683579,0.43089064457763,110.91792743453328,7.972966423719134,2.835016357576175,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2048,22752.73354862296,5052.107717262717,4478.633673690582,12427.817574637582,794.1745830320766,160411550268806.66,1690286579.4435358,65936.1842955725,0.4106387842824813,113.42467259455373,7.567939729394202,2.7530843848422237,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2049,24234.99429846923,4995.524110829375,4646.582436453979,13797.363071362644,795.5246798232312,171672441097676.88,1700428298.920197,67254.90798148395,0.3913387614212047,115.98807019519064,7.183488391140977,2.6735202461202827,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2050,25875.11307221483,4939.574240788086,4820.829277821004,15317.832481826808,796.8770717789307,183723846462733.8,1710630868.7137182,68600.00614111363,0.3729458396344081,118.60940058160192,6.818567180871016,2.5962555110074064,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
Finland,2018,42.3406192,16.1627762,22.0607234,3.4780876000000003,0.639032,209788262626.0992,5514858.422733334,326.66434080000005,1.5587684,85.4029125,72.99679804145718,3.907812205397055,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2019,40.98354677898,15.28675372996,21.90850440854,3.1121927844800004,0.6760958560000001,210858182765.49237,5535263.398897448,323.29969808976006,1.53523099716,85.53101686875,71.785051193969,7.731997229598614,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2020,39.71564692511794,14.458211677796166,21.75733572812107,2.7847901035527043,0.7153094156480001,211933559497.5964,5555743.873473369,319.96971119943555,1.512049009102884,85.65931339405313,70.59341934414911,15.298529718483818,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2021,38.53041426287119,13.674576604859611,21.607210111597038,2.49183018465896,0.7567973617555841,213014420651.03412,5576300.125805221,316.67402317408136,1.4892170690654305,85.78780236414421,69.42156858303623,30.26967090099209,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2022,37.42191617267349,12.933414552876222,21.458120361827014,2.2296896492328373,0.800691608737408,214100794196.35443,5596932.4362707,313.4122807353883,1.4667298913225424,85.91648406769043,68.26917054455784,59.89157084470295,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2023,36.38474083561845,12.232423484110331,21.310059331330407,1.995126298133543,0.8471317220441776,215192708246.75583,5617641.086284902,310.18413424381384,1.444582269963572,86.04535879379198,67.13590231351819,118.50146207332926,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2024,35.4139504267084,11.56942613127155,21.163019921944223,1.7852390115698942,0.89626536192274,216290191058.81436,5638426.358304156,306.9892376611025,1.422769077687122,86.17442683198267,66.0214463351138,234.4669928582893,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2025,34.50503893990645,10.942363234956632,21.01699508448281,1.5974318675527417,0.9482487529142588,217393271033.2143,5659288.535829881,303.8272485131932,1.4012852646140466,86.30368847223065,64.9254903259509,463.9163920694112,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2026,33.65389418169134,10.349287147621984,20.87197781839988,1.4293820350861932,1.003247180583286,218501976715.4837,5680227.903412452,300.6978278535073,1.3801258571183743,86.433144004939,63.84772718654012,917.9049733485372,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2027,32.85676351772604,9.78835578422087,20.72796117145292,1.2790110449951255,1.0614355170571166,219616336796.7327,5701244.746655079,297.6006402266162,1.359285956675887,86.5627937209464,62.78785491524356,1816.166780267416,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2028,32.11022300019406,9.2578269007161,20.584938239369897,1.1444590830616386,1.1229987770464294,220736380114.3961,5722339.352217702,294.53535363228207,1.338760738730081,86.69263791152783,61.74557652365052,3593.467591437109,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2029,31.411149541854204,8.756052682697286,20.442902165518245,1.0240619875235542,1.1881327061151223,221862135652.9795,5743512.007820908,291.50163948986955,1.3185454515752568,86.82267686839512,60.720599953357926,7110.034976417464,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2030,30.756695837377134,8.281474627295093,20.301846140576167,0.9163306664360764,1.2570444030697996,222993632544.8097,5764763.002249845,288.4991726031239,1.2986354152564703,86.95291088369771,59.71263799413219,14067.915204339595,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2031,30.14426776347674,7.832618702495699,20.16176340220619,0.8199326803270011,1.329952978447848,224130900070.78827,5786092.62535817,285.5276311253117,1.279026020486098,87.08334025002327,58.7214082034296,27834.777023306324,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2032,29.571504017105823,7.408090768820432,20.022647234730968,0.7336757623566006,1.4070902511978234,225273967661.1493,5807501.168071996,282.586696524721,1.259712727576758,87.21396526039831,57.74663282725267,55073.889818313895,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2033,29.03625777588567,7.006572249150365,19.884490968811324,0.6564930721566863,1.488701485767297,226422864896.2212,5828988.922393862,279.6760535505164,1.240691065390349,87.34478620828891,56.78803872232028,108969.19839451589,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2034,28.536580187280546,6.626816033246414,19.74728798112653,0.5874300009658029,1.5750461719418003,227577621507.192,5850556.18140672,276.79539019894605,1.2219566303029543,87.47580338760135,55.845357279529765,215606.4559433892,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
