GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Year,CO2_total
17635934669688.01,332264391.46833336,25833.0988782,1.4651376333333332,82.0519531,26.322128138137963,2.3161347482735497,16883006133589.334,16517141889024.0,1.53,1.564,1222.2098723999998,2338.32877,1473.5097727999998,41.376456399999995,2018,5075.4248716
18025688825888.117,335387676.74813575,25900.264935283318,1.4371535045366666,82.24067259213,25.56405084775959,2.4145704750751755,16883006133589.334,16517141889024.0,1.53,1.564,1141.4217998343597,2361.7120577,1486.4766588006398,42.456381912039994,2019,5032.06689824704
18424056548940.246,338540320.90956825,25967.605624115055,1.4097038726000162,82.42982613909189,24.827806183344112,2.5171897202658706,16883006133589.334,16517141889024.0,1.53,1.564,1065.9738188653084,2385.329178277,1499.5576533980852,43.56449347994424,2020,4994.425144020337
18831228198671.824,341722599.9261182,26035.121398737752,1.3827785286333558,82.61941473921179,24.1127653652638,2.62417028337717,16883006133589.334,16517141889024.0,1.53,1.564,995.5129494383115,2409.1824700597704,1512.7537607479883,44.701526759770786,2021,4962.150707005841
19247398341862.473,344934792.36542374,26102.812714374468,1.3563674587364587,82.80943939311197,23.418317722744202,2.7356975204207,16883006133589.334,16517141889024.0,1.53,1.564,929.709543480439,2433.274294760368,1526.0659938425704,45.8682366082008,2022,4934.918068691579
19672765845217.633,348177179.41365874,26170.68002743184,1.3304608402745923,82.99990110371613,22.743870172329167,2.8519646650385795,16883006133589.334,16517141889024.0,1.53,1.564,868.2557426563819,2457.6070377079714,1539.495374588385,47.065397583674844,2023,4912.423552536413
20107533970396.94,351450044.90014714,26238.723795503163,1.3050490382253477,83.19080087625467,22.088846711366084,2.973173163302719,16883006133589.334,16517141889024.0,1.53,1.564,810.864038066795,2482.183108085051,1553.0429338847625,48.29380446060876,2024,4894.383884497218
20551910471142.715,354753675.3222085,26306.94447737147,1.2801226015952436,83.38213971827005,21.45268792607874,3.0995330227430844,16883006133589.334,16517141889024.0,1.53,1.564,757.2659251505798,2507.0049391659018,1566.7097117029484,49.55427275703065,2025,4880.534848776461
21006107692554.97,358088359.8702373,26375.342533012634,1.2556722599047745,83.57391863962208,20.834850513807673,3.2312631762096653,16883006133589.334,16517141889024.0,1.53,1.564,707.2106474981265,2532.0749885575606,1580.4967571659342,50.84763927598915,2026,4870.630032497611
21470342672560.434,361454390.45301753,26443.918423598465,1.2316889197405934,83.76613865249321,20.23480681901001,3.368591861198576,16883006133589.334,16517141889024.0,1.53,1.564,660.4640236985003,2557.395738443136,1594.4051286289944,52.17476266109247,2027,4864.439653431723
21944837245624.02,364852061.7232759,26512.67261149982,1.208163661373548,83.95880077139394,19.65204438262252,3.5117570152995152,16883006133589.334,16517141889024.0,1.53,1.564,616.8073517320295,2582.969695827567,1608.4358937609293,53.53652396654699,2028,4861.749465287073
22429818148752.312,368281671.10347474,26581.605560289718,1.1850877354413132,84.15190601316814,19.086065504402992,3.6610066884497448,16883006133589.334,16517141889024.0,1.53,1.564,576.0363857825423,2608.799392785843,1622.5901296260254,54.93382724207387,2029,4862.359735436485
22925517129839.74,371743518.81184745,26650.717734746468,1.162452559694384,84.34545539699843,18.536386817876185,3.816599472708859,16883006133589.334,16517141889024.0,1.53,1.564,537.9603806823162,2634.8873867137013,1636.8689227667342,56.367600133092,2030,4866.084290295844
23432171058409.195,375237907.88867885,26720.009600856807,1.1402497158042213,84.53944994441153,18.00253887752135,3.978804950298985,16883006133589.334,16517141889024.0,1.53,1.564,502.4011995192151,2661.2362605808385,1651.2733692870813,57.8387944965657,2031,4872.749623883701
23950022038800.04,378765144.22283244,26789.481625819033,1.1184709462323608,84.73389067928368,17.484065757848732,4.147904160686692,16883006133589.334,16517141889024.0,1.53,1.564,469.19248023099493,2687.848623186647,1665.8045749368075,59.34838703292606,2032,4882.194065387376
24479317525857.52,382325536.5785271,26859.13427804616,1.0971081511593226,84.92877862784603,16.98052466402269,4.324190087515876,16883006133589.334,16517141889024.0,1.53,1.564,438.17885728772615,2714.7271094185135,1680.4636551962512,60.897379934485436,2033,4894.267001836977
25020310443178.973,385919396.6223653,26928.968027169078,1.0761533854721794,85.12411481869007,16.491485553698833,4.507968166235301,16883006133589.334,16517141889024.0,1.53,1.564,409.2152348210074,2741.8743805126987,1695.251735361978,62.4868015507755,2034,4908.8281522464595
25573259303973.227,389547038.9506156,26998.983344039716,1.0555988558096607,85.31990028277306,16.016530769752308,4.699556813300301,16883006133589.334,16517141889024.0,1.53,1.564,382.1661077993388,2769.293124317826,1710.1699506331634,64.11770707125075,2035,4925.746889821579
26138428334591.035,393208781.1167514,27069.180700734218,1.0354369176636962,85.51613605342344,15.55525468358344,4.899287977865564,16883006133589.334,16517141889024.0,1.53,1.564,356.9049280738025,2796.9860555610044,1725.219446198735,65.7911792258104,2036,4944.901609059352
26716087600785.496,396904943.6592489,27139.560570556125,1.0156600725363196,85.71282316634631,15.107263348696236,5.10750771692485,16883006133589.334,16517141889024.0,1.53,1.564,333.31351232812415,2824.9559161166144,1740.4013773252839,67.50832900360405,2037,4966.179134773626
27306513136762.855,400635850.1296459,27210.12342803957,0.9962609651508759,85.9099626596289,14.672174164253784,5.324576794894156,16883006133589.334,16517141889024.0,1.53,1.564,311.2814891632351,2853.2054752777804,1755.7169094457463,69.27029639059812,2038,4989.47417027736
27909987077085.316,404401827.12086457,27280.86974895247,0.9772323807164942,86.10755557374604,14.249615548323275,5.5508713086771575,16883006133589.334,16517141889024.0,1.53,1.564,290.70578272954526,2881.737530030558,1771.1672182488687,71.07825112639273,2039,5014.688782135364
